company_id,type,rule_id,text,confidence_pct
TATAPOWER,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TATASTEEL,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
TATASTEEL,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
TATASTEEL,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TCS,con,DEFAULT_CON,Further financial analysis is recommended.,60
TCS,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
TCS,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TCS,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
TCS,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
TCS,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
TECHM,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
TECHM,con,CON_06,Return on equity below 10% reflects weak shareholder returns.,85
TECHM,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TECHM,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
TECHM,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
TITAN,con,DEFAULT_CON,Further financial analysis is recommended.,60
TITAN,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
TITAN,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TITAN,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
TORNTPHARM,con,DEFAULT_CON,Further financial analysis is recommended.,60
TORNTPHARM,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
TORNTPHARM,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TORNTPHARM,pro,PRO_04,Operating profit margin above 25% indicates strong pricing power and cost discipline.,88
TORNTPHARM,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
TRENT,con,DEFAULT_CON,Further financial analysis is recommended.,60
TRENT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
TRENT,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
TVSMOTOR,con,CON_01,Debt-to-equity ratio of 3.83 is elevated and warrants monitoring.,92
TVSMOTOR,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
TVSMOTOR,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ULTRACEMCO,con,DEFAULT_CON,Further financial analysis is recommended.,60
ULTRACEMCO,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
ULTRACEMCO,pro,PRO_05,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ULTRACEMCO,pro,PRO_06,Healthy dividend payout supported by positive free cash flow.,82
UNIONBANK,con,CON_01,Debt-to-equity ratio of 12.82 is elevated and warrants monitoring.,92
UNIONBANK,con,CON_03,Operating margins remain weak and indicate pricing or cost pressure.,82
UNIONBANK,con,CON_05,Interest coverage below 1.5x indicates elevated debt servicing risk.,94
UNIONBANK,pro,PRO_03,Strong free cash flow generation signals healthy business fundamentals.,90
UNITDSPR,con,DEFAULT_CON,Further financial analysis is recommended.,60
UNITDSPR,pro,DEFAULT_PRO,Company has an established operating business.,60
VBL,con,DEFAULT_CON,Further financial analysis is recommended.,60
VBL,pro,DEFAULT_PRO,Company has an established operating business.,60
VEDL,con,DEFAULT_CON,Further financial analysis is recommended.,60
VEDL,pro,DEFAULT_PRO,Company has an established operating business.,60
WIPRO,con,DEFAULT_CON,Further financial analysis is recommended.,60
WIPRO,pro,DEFAULT_PRO,Company has an established operating business.,60
ZOMATO,con,DEFAULT_CON,Further financial analysis is recommended.,60
ZOMATO,pro,DEFAULT_PRO,Company has an established operating business.,60
ZYDUSLIFE,con,DEFAULT_CON,Further financial analysis is recommended.,60
ZYDUSLIFE,pro,DEFAULT_PRO,Company has an established operating business.,60
